iter	MultiClass
212	0.7630673896
213	0.7623756245
214	0.7608818082
215	0.7595347319
216	0.7587936725
217	0.7580112263
218	0.756949013
219	0.7557335545
220	0.7547570232
221	0.753559854
222	0.7525882108
223	0.7514758797
224	0.7505322917
225	0.749723486
226	0.748893439
227	0.7481911082
228	0.7472482423
229	0.7464753168
230	0.745632648
231	0.7446001282
232	0.7432176918
233	0.7423316975
234	0.7408232687
235	0.7396875562
236	0.738757618
237	0.7380215822
238	0.7373590657
239	0.7366339534
240	0.7358579338
241	0.7349253652
242	0.7342308936
243	0.7335456657
244	0.732459672
245	0.7311773681
246	0.7300983289
247	0.7294791556
248	0.7285756207
249	0.7279271692
250	0.7271722152
251	0.726344894
252	0.7253820622
253	0.7246604211
254	0.7240672485
255	0.7233091085
256	0.7225223282
257	0.7218661365
258	0.7210394955
259	0.7204713546
260	0.7196864486
261	0.7191371168
262	0.7183432648
263	0.7175275449
264	0.7166884688
265	0.7161441744
266	0.7155732843
267	0.7149368595
268	0.7142445762
269	0.7133828495
270	0.7121913757
271	0.7113581278
272	0.7107924602
273	0.7102327064
274	0.7093456068
275	0.7084600438
276	0.7075891367
277	0.7069005594
278	0.7060580632
279	0.7051780952
280	0.7043233789
281	0.7034527954
282	0.702801205
283	0.7021892284
284	0.7016649437
285	0.7011663606
286	0.7003856122
287	0.6994846449
288	0.698522373
289	0.6974463997
290	0.6970519794
291	0.6962236522
292	0.6955191302
293	0.6948746451
294	0.6940761276
295	0.6936052377
296	0.6930676573
297	0.6924427541
298	0.6916846612
299	0.6911440765
300	0.6904291152
301	0.689794203
302	0.6889888867
303	0.6884032246
304	0.6874830065
305	0.6870157561
306	0.6859330944
307	0.68538536
308	0.6847139707
309	0.684229709
310	0.6837365967
311	0.6830612067
312	0.6824039703
313	0.6816602289
314	0.6811060267
315	0.6806554913
316	0.6800455312
317	0.6795131121
318	0.6789978459
319	0.678563153
320	0.6776721209
321	0.6767859416
322	0.6761183824
323	0.6754085882
324	0.6745985302
325	0.6738382934
326	0.6733063465
327	0.6728211354
328	0.6723296552
329	0.6718807292
330	0.6712557376
331	0.6704596328
332	0.6698217838
333	0.6693284002
334	0.6689361033
335	0.6685411085
336	0.6680075279
337	0.6674463353
338	0.6667931697
339	0.6662400293
340	0.665601924
341	0.6648941977
342	0.6643562817
343	0.6638673567
344	0.6632033929
345	0.6627619593
346	0.6621432957
347	0.6615712166
348	0.6611925924
349	0.6606311796
350	0.66006402
351	0.6594673499
352	0.6588913086
353	0.6584865067
354	0.6580934139
355	0.6572206546
356	0.6567183212
357	0.6562144636
358	0.6556405053
359	0.6551140376
360	0.6547048045
361	0.6543833381
362	0.6538831732
363	0.6532682376
364	0.6528334804
365	0.6522193768
366	0.6517507449
367	0.6510697434
368	0.6505966847
369	0.6499335027
370	0.6493502662
371	0.6487887613
372	0.6483965168
373	0.6477471426
374	0.6472856616
375	0.6467845979
376	0.6460760542
377	0.6454601448
378	0.6449896468
379	0.6444240556
380	0.6439205371
381	0.6433910364
382	0.6429521417
383	0.6424823355
384	0.6420593709
385	0.6414307164
386	0.6410825318
387	0.6406671211
388	0.6401008006
389	0.6397256944
390	0.6390897029
391	0.6386896502
392	0.6383333884
393	0.6379512873
394	0.637344823
395	0.6369018776
396	0.636440956
397	0.6360575931
398	0.6354506797
399	0.6346172467
400	0.6342187725
401	0.6337296383
402	0.6332864281
403	0.6326097174
404	0.6321312335
405	0.6317987062
406	0.6313220086
407	0.6308781044
408	0.6303105666
409	0.6296940769
410	0.6293910702
411	0.6291273319
412	0.6285115479
413	0.6279353634
414	0.6274838484
415	0.6269524153
416	0.6264489281
417	0.6260039077
418	0.6256716834
419	0.6254050301
420	0.6250358256
421	0.6246838022
422	0.6242590555
423	0.6236987676
424	0.62309549
425	0.6227838563
426	0.6225022828
427	0.6220890335
428	0.6213412665
429	0.6209673801
430	0.6205387653
431	0.6201361088
432	0.6196017283
433	0.6191765487
434	0.618832816
435	0.6183505787
436	0.6180091021
437	0.6175499458
438	0.6170088186
439	0.6165254642
440	0.6161277014
441	0.615755306
442	0.6153653291
443	0.6149354141
444	0.6143849444
445	0.6139263469
446	0.6133816441
447	0.6129063933
448	0.6125302753
449	0.6119662879
450	0.6114791937
451	0.6109761136
452	0.6105057037
453	0.6099312032
454	0.6095487526
455	0.6091949711
456	0.6088916922
457	0.6083460141
458	0.6079763439
459	0.607459262
460	0.6069932087
461	0.6063855136
462	0.6059099804
463	0.6054814071
464	0.6051780991
465	0.6046696035
466	0.6042270078
467	0.6039834773
468	0.6037053461
469	0.6032561784
470	0.6029904004
471	0.6024135085
472	0.6021088178
473	0.6017776962
474	0.6012696524
475	0.60079001
476	0.6005222434
477	0.600092819
478	0.5997039756
479	0.5994454411
480	0.5990129943
481	0.5987313338
482	0.5982612977
483	0.5976260575
484	0.5972411318
485	0.5968675697
486	0.5966714465
487	0.5963988695
488	0.5960806948
489	0.5956990987
490	0.5952592335
491	0.5949282414
492	0.5943947649
493	0.594019161
494	0.593771689
495	0.593544958
496	0.5933169452
497	0.59293436
498	0.5926434189
499	0.5923722647
500	0.5919931234
501	0.5914415076
502	0.5910035766
503	0.5907416525
504	0.590464327
505	0.5901992468
506	0.5898580295
507	0.5896449912
508	0.5893644586
509	0.588910167
510	0.5886126445
511	0.5882400234
512	0.5879388986
513	0.587491689
514	0.5872726277
515	0.5869831645
516	0.5865812122
517	0.5862384059
518	0.5858425341
519	0.5855698294
520	0.5850671433
521	0.5847349485
522	0.5844929676
523	0.5841040325
524	0.5838535685
525	0.5834769909
526	0.5830942453
527	0.5827554185
528	0.5824296986
529	0.5821943531
530	0.581922338
531	0.5814871254
532	0.5811901006
533	0.5807642615
534	0.5804394085
535	0.5802204381
536	0.5799517674
537	0.5796036015
538	0.5792527685
539	0.5789570152
540	0.5786353071
541	0.5782700226
542	0.5778986071
543	0.5776173199
544	0.5773358857
545	0.5767393104
546	0.5764956263
547	0.5762645783
548	0.5758314692
549	0.5755044184
550	0.5753324163
551	0.574947626
552	0.5746234441
553	0.5743882865
554	0.5739176332
555	0.5735738953
556	0.5734485081
557	0.5731660792
558	0.5728681855
559	0.5724113803
560	0.5720986199
561	0.5717990749
562	0.5714854958
563	0.5711970441
564	0.5709513111
565	0.5706473885
566	0.5704189799
567	0.5700957877
568	0.569818572
569	0.5695863952
570	0.5692316104
571	0.5688720749
572	0.5685087047
573	0.5681563477
574	0.5678601746
575	0.5676432926
576	0.5673257029
577	0.5670031598
578	0.5667905512
579	0.5666442559
580	0.5665164418
581	0.5662384818
582	0.566052912
583	0.5657401028
584	0.5654911435
585	0.5651078364
586	0.5646052145
587	0.5642962853
588	0.5640138848
589	0.5636904883
590	0.5635050369
591	0.5630835923
592	0.5628729289
593	0.5623362119
594	0.5620547922
595	0.561562837
596	0.5611757046
597	0.5609041088
598	0.5606593724
599	0.5604427149
600	0.5602795915
601	0.5600044456
602	0.5597887221
603	0.5595043255
604	0.5592812629
605	0.5590213613
606	0.5587286517
607	0.5585180065
608	0.5583927923
609	0.5581664562
610	0.5578381139
611	0.5573686432
612	0.5570553745
613	0.556841108
614	0.5564529658
615	0.5560409374
616	0.5558726631
617	0.5556605125
618	0.5554246713
619	0.5551705977
620	0.5548458215
621	0.5546196184
622	0.5543585655
623	0.5541642329
624	0.5538903904
625	0.5533290214
626	0.5531038811
627	0.5528567745
628	0.5526485032
629	0.552346234
630	0.5520524571
631	0.5518008356
632	0.5515627335
633	0.5512389039
634	0.5508122868
635	0.5505648466
636	0.5503533332
637	0.5502016076
638	0.5499490078
639	0.5496014571
640	0.5492589461
641	0.5489613259
642	0.54874589
643	0.5484427659
644	0.5480435211
645	0.5477276996
646	0.5475524368
647	0.5472962128
648	0.5469556365
649	0.5468008723
650	0.5464095881
651	0.5462388346
652	0.5459476964
653	0.5456577846
654	0.5453887036
655	0.545220834
656	0.5449093204
657	0.5445780805
658	0.5443811148
659	0.5441709956
660	0.5439289971
661	0.5436263022
662	0.54334374
663	0.5431595706
664	0.5428615162
665	0.5425876839
666	0.5423605494
667	0.5422308047
668	0.5420451532
669	0.5418766634
670	0.5414759451
671	0.5412860897
672	0.5411463061
673	0.5408879138
674	0.5406165812
675	0.5404407242
676	0.5401223847
677	0.5399281417
678	0.5397438718
679	0.5394392563
680	0.5392221852
681	0.5390186992
682	0.5388401278
683	0.5387190052
684	0.5383751723
685	0.538173524
686	0.5377547576
687	0.5373949364
688	0.5371699654
689	0.536936105
690	0.5367050495
691	0.5365188491
692	0.53633451
693	0.5361093747
694	0.5359101803
695	0.5356755808
696	0.535535549
697	0.5353192773
698	0.5351947089
699	0.5350333794
700	0.534875798
701	0.5345590396
702	0.5343126896
703	0.5340918666
704	0.533799531
705	0.5335543733
706	0.5333523971
707	0.533072742
708	0.5328279226
709	0.5324665379
710	0.5322928002
711	0.5321195908
712	0.5320285745
713	0.5317943039
714	0.5314481522
715	0.5311536288
716	0.53092165
717	0.5306246428
718	0.5304386792
719	0.5302119941
720	0.5300314377
721	0.529750464
722	0.5295102489
723	0.5291404813
724	0.5289508478
725	0.5287261311
726	0.528523673
727	0.5282987185
728	0.5280735673
729	0.5279054843
730	0.5276627895
731	0.527435423
732	0.5269958905
733	0.5268385241
734	0.5266126944
735	0.5263187273
736	0.5261396347
737	0.5260315244
738	0.5258179795
739	0.525535749
740	0.5252997527
741	0.5251825482
742	0.52490372
743	0.5248051299
744	0.524571531
745	0.5242383631
746	0.5239277438
747	0.523647855
748	0.5234211705
749	0.5232680524
750	0.5229956574
751	0.522804881
752	0.5226421033
753	0.5225344385
754	0.522378465
755	0.5222804491
756	0.5220603217
757	0.5219062402
758	0.521519638
759	0.5213768698
760	0.5212252015
761	0.5208710053
762	0.5206697004
763	0.5204234231
764	0.5203041241
765	0.5200513044
766	0.5198557938
767	0.5197076205
768	0.519551649
769	0.5193250937
770	0.5192066874
771	0.518955699
772	0.5187100657
773	0.5185376445
774	0.5183086607
775	0.5180070064
776	0.5178631957
777	0.5176352034
778	0.5173929587
779	0.5171961642
780	0.5170434133
781	0.5168035662
782	0.5167196002
783	0.5165083249
784	0.5163948911
785	0.5162276908
